データ日付,終値,始値,高値,安値
"2022/01/04","35865.86","41755.45","913.38","268.89"
"2022/01/05","35914.94","41869.73","912.13","268.15"
"2022/01/06","34970.13","39666.81","936.13","282.26"
"2022/01/07","34908.78","39527.63","937.77","283.25"
"2022/01/11","34540.67","38694.00","947.66","289.22"
"2022/01/12","35264.61","40315.98","927.80","277.10"
"2022/01/13","35031.48","39782.93","933.93","280.76"
"2022/01/14","34589.75","38779.64","945.71","287.84"
"2022/01/17","34773.80","39192.33","940.68","284.78"
"2022/01/18","34663.37","38943.41","943.67","286.59"
"2022/01/19","33767.64","36930.75","968.06","301.40"
"2022/01/20","34098.94","37655.42","958.56","295.49"
"2022/01/21","33767.64","36923.71","967.87","301.23"
"2022/01/24","33841.26","37084.71","965.76","299.92"
"2022/01/25","33203.21","35686.30","983.97","311.23"
"2022/01/26","33141.86","35554.42","985.79","312.38"
"2022/01/27","32172.51","33474.59","1014.62","330.65"
"2022/01/28","32773.75","34725.74","995.66","318.29"
"2022/01/31","33190.94","35609.82","982.99","310.19"
"2022/02/01","33166.40","35557.16","983.72","310.65"
"2022/02/02","33792.18","36898.94","965.16","298.93"
"2022/02/03","33374.99","35987.85","977.08","306.31"
"2022/02/04","33632.66","36543.53","969.54","301.58"
"2022/02/07","33399.53","36036.92","976.26","305.76"
"2022/02/08","33473.15","36195.79","974.11","304.41"
"2022/02/09","33804.45","36912.28","964.47","298.38"
"2022/02/10","33988.50","37314.22","959.22","295.13"
"2022/02/14","33252.29","35697.73","980.00","307.92"
"2022/02/15","32933.26","35012.75","989.40","313.83"
"2022/02/16","33657.20","36552.05","967.65","300.03"
"2022/02/17","33325.90","35832.46","977.17","305.94"
"2022/02/18","33240.01","35647.76","979.69","307.52"
"2022/02/21","33055.96","35253.00","985.11","310.93"
"2022/02/22","32430.18","33918.26","1003.76","322.70"
"2022/02/24","31816.67","32634.94","1022.75","334.91"
"2022/02/25","32516.07","34069.71","1000.27","320.19"
"2022/02/28","32589.69","34223.99","998.01","318.74"
"2022/03/01","32982.34","35048.67","985.99","311.06"
"2022/03/02","32344.29","33692.62","1005.06","323.10"
"2022/03/03","32712.40","34459.53","993.62","315.75"
"2022/03/04","32025.27","33011.87","1014.49","329.01"
"2022/03/07","30922.23","30737.83","1049.43","351.67"
"2022/03/08","30191.00","29284.09","1074.25","368.30"
"2022/03/09","30364.51","29620.69","1068.08","364.07"
"2022/03/10","31603.88","32038.71","1024.48","334.35"
"2022/03/11","31095.74","31008.45","1040.95","345.10"
"2022/03/14","31046.17","30909.59","1042.61","346.20"
"2022/03/15","31145.32","31107.02","1039.28","343.99"
"2022/03/16","31727.82","32270.59","1019.84","331.12"
"2022/03/17","32768.89","34388.35","986.38","309.39"
"2022/03/18","33128.31","35142.72","975.56","302.60"
"2022/03/22","33549.70","36036.75","963.15","294.90"
"2022/03/23","34528.80","38140.11","935.04","277.69"
"2022/03/24","34504.01","38085.34","935.71","278.09"
"2022/03/25","34590.77","38276.87","933.36","276.69"
"2022/03/28","34268.53","37563.71","942.05","281.85"
"2022/03/29","34603.16","38297.32","932.85","276.35"
"2022/03/30","34702.31","38516.79","930.18","274.77"
"2022/03/31","34442.04","37939.03","937.16","278.89"
"2022/04/01","34280.92","37584.07","941.54","281.50"
"2022/04/04","34442.04","37937.36","937.11","278.85"
"2022/04/05","34454.43","37964.65","936.77","278.65"
"2022/04/06","33995.86","36954.07","949.24","286.07"
"2022/04/07","33339.00","35526.03","967.58","297.12"
"2022/04/08","33512.51","35895.81","962.54","294.03"
"2022/04/11","33239.85","35311.71","970.37","298.81"
"2022/04/12","32620.17","33995.10","988.46","309.95"
"2022/04/13","33314.22","35441.71","967.43","296.76"
"2022/04/14","33698.42","36259.18","956.27","289.92"
"2022/04/15","33562.09","35965.80","960.14","292.27"
"2022/04/18","33153.10","35089.24","971.84","299.39"
"2022/04/19","33524.91","35876.29","960.94","292.67"
"2022/04/20","33686.03","36221.13","956.32","289.86"
"2022/04/21","34107.42","37127.33","944.36","282.61"
"2022/04/22","33586.89","35994.09","958.77","291.24"
"2022/04/25","32892.84","34506.50","978.58","303.28"
"2022/04/26","33029.17","34792.54","974.52","300.77"
"2022/04/27","32706.93","34113.65","984.03","306.64"
"2022/04/28","33301.83","35354.62","966.13","295.49"
"2022/05/02","33227.47","35196.73","968.29","296.81"
"2022/05/06","33599.28","35984.42","957.45","290.17"
"2022/05/09","32706.93","34073.03","982.88","305.58"
"2022/05/10","32558.21","33763.17","987.35","308.36"
"2022/05/11","32533.42","33711.76","988.10","308.83"
"2022/05/12","31938.52","32478.87","1006.17","320.12"
"2022/05/13","32706.93","34041.69","981.96","304.72"
"2022/05/16","32818.47","34273.87","978.61","302.64"
"2022/05/17","33004.38","34662.18","973.07","299.21"
"2022/05/18","33289.43","35260.92","964.67","294.04"
"2022/05/19","32682.14","33974.41","982.27","304.77"
"2022/05/20","33177.89","35005.11","967.37","295.52"
"2022/05/23","33524.91","35737.37","957.25","289.34"
"2022/05/24","33140.71","34918.26","968.22","295.97"
"2022/05/25","33066.35","34761.56","970.39","297.30"
"2022/05/26","32979.59","34579.14","972.94","298.86"
"2022/05/27","33227.46","35098.92","965.63","294.37"
"2022/05/30","33958.69","36643.75","944.38","281.41"
"2022/05/31","33785.18","36269.29","949.21","284.29"
"2022/06/01","34082.63","36907.93","940.85","279.28"
"2022/06/02","34033.06","36800.57","942.22","280.09"
"2022/06/03","34442.05","37685.07","930.90","273.36"
"2022/06/06","34591.15","38011.35","926.87","270.99"
"2022/06/07","34740.25","38339.03","922.87","268.65"
"2022/06/08","34963.90","38832.67","916.93","265.19"
"2022/06/09","35075.72","39081.06","914.00","263.49"
"2022/06/10","34603.57","38028.93","926.30","270.58"
"2022/06/13","33348.65","35270.64","959.89","290.21"
"2022/06/14","33125.00","34797.56","966.33","294.10"
"2022/06/15","32652.85","33805.58","980.10","302.48"
"2022/06/16","32839.22","34191.48","974.51","299.03"
"2022/06/17","32031.60","32509.73","998.48","313.74"
"2022/06/20","32031.60","32509.73","998.48","313.74"
"2022/06/21","32590.72","33644.66","981.05","302.79"
"2022/06/22","32429.20","33311.17","985.91","305.79"
"2022/06/23","32454.05","33362.22","985.15","305.32"
"2022/06/24","32901.35","34281.85","971.57","296.90"
"2022/06/27","33261.67","35032.73","960.93","290.40"
"2022/06/28","33634.42","35817.93","950.16","283.89"
"2022/06/29","33149.85","34785.87","963.85","292.07"
"2022/06/30","32690.13","33821.05","977.22","300.17"
"2022/07/01","32093.73","32586.98","995.05","311.12"
"2022/07/04","32528.60","33470.09","981.57","302.69"
"2022/07/05","32727.40","33879.20","975.57","298.99"
"2022/07/06","32304.95","33004.56","988.16","306.71"
"2022/07/07","32913.77","34248.57","969.54","295.15"
"2022/07/08","33062.87","34558.86","965.15","292.48"
"2022/07/11","33112.57","34662.76","963.70","291.60"
"2022/07/12","32652.85","33700.28","977.08","299.70"
"2022/07/13","32851.65","34110.63","971.13","296.05"
"2022/07/14","33174.70","34781.49","961.58","290.23"
"2022/07/15","33249.25","34937.81","959.42","288.93"
"2022/07/19","33460.47","35381.70","953.33","285.26"
"2022/07/20","34392.34","37352.45","926.78","269.37"
"2022/07/21","34516.59","37622.34","923.43","267.42"
"2022/07/22","34653.26","37920.27","919.77","265.30"
"2022/07/25","34417.19","37403.62","926.04","268.91"
"2022/07/26","34355.07","37268.60","927.71","269.88"
"2022/07/27","34491.74","37565.12","924.02","267.73"
"2022/07/28","34553.86","37700.43","922.36","266.77"
"2022/07/29","34479.31","37537.75","924.35","267.92"
"2022/08/01","34789.93","38214.10","916.02","263.09"
"2022/08/02","34379.91","37313.35","926.82","269.29"
"2022/08/03","34429.61","37421.23","925.48","268.51"
"2022/08/04","34727.81","38069.45","917.46","263.86"
"2022/08/05","35001.16","38668.76","910.24","259.71"
"2022/08/08","35088.13","38860.93","907.98","258.42"
"2022/08/09","34740.23","38090.32","916.98","263.54"
"2022/08/10","34529.01","37627.14","922.56","266.74"
"2022/08/12","35460.88","39658.10","897.66","252.34"
"2022/08/15","35858.48","40547.42","887.60","246.68"
"2022/08/16","35846.06","40519.33","887.91","246.85"
"2022/08/17","36268.51","41474.38","877.45","241.03"
"2022/08/18","35957.89","40763.97","884.96","245.16"
"2022/08/19","35945.47","40735.81","885.27","245.33"
"2022/08/22","35672.12","40116.25","892.00","249.06"
"2022/08/23","35274.52","39221.98","901.94","254.61"
"2022/08/24","35187.55","39028.57","904.16","255.87"
"2022/08/25","35423.62","39552.25","898.09","252.44"
"2022/08/26","35547.87","39829.71","894.94","250.67"
"2022/08/29","34678.12","37880.68","916.84","262.94"
"2022/08/30","35038.44","38667.87","907.31","257.48"
"2022/08/31","34939.04","38448.48","909.88","258.94"
"2022/09/01","34330.22","37108.53","925.73","267.96"
"2022/09/02","34367.49","37189.10","924.72","267.38"
"2022/09/05","34342.43","37134.87","925.39","267.77"
"2022/09/06","34304.84","37053.58","926.40","268.36"
"2022/09/07","34116.90","36647.58","931.48","271.30"
"2022/09/08","34843.59","38208.77","911.64","259.74"
"2022/09/09","35081.64","38730.85","905.41","256.19"
"2022/09/12","35407.40","39450.14","897.00","251.43"
"2022/09/13","35582.81","39841.02","892.56","248.94"
"2022/09/14","34643.12","37736.73","916.13","262.09"
"2022/09/15","34680.71","37818.62","915.14","261.52"
"2022/09/16","34267.25","36916.88","926.05","267.76"
"2022/09/20","34392.54","37186.84","922.66","265.80"
"2022/09/21","33979.08","36292.74","933.75","272.19"
"2022/09/22","33866.32","36051.86","936.85","274.00"
"2022/09/26","32826.40","33837.80","965.62","290.83"
"2022/09/27","32976.75","34147.76","961.20","288.17"
"2022/09/28","32475.58","33109.83","975.81","296.93"
"2022/09/29","33001.80","34182.82","960.00","287.31"
"2022/09/30","32588.34","33326.31","972.03","294.51"
"2022/10/03","32863.98","33890.07","963.81","289.53"
"2022/10/04","33715.96","35647.23","938.82","274.52"
"2022/10/05","33928.96","36097.63","932.89","271.05"
"2022/10/06","34192.07","36657.48","925.66","266.85"
"2022/10/07","33954.02","36147.05","932.10","270.57"
"2022/10/11","33114.57","34359.71","955.14","283.95"
"2022/10/12","33064.45","34255.70","956.59","284.81"
"2022/10/13","32851.45","33814.35","962.75","288.48"
"2022/10/14","33891.37","35955.15","932.27","270.22"
"2022/10/17","33490.44","35104.46","943.30","276.61"
"2022/10/18","34066.78","36312.69","927.07","267.09"
"2022/10/19","34116.90","36419.54","925.71","266.30"
"2022/10/20","33828.73","35804.30","933.53","270.80"
"2022/10/21","33703.44","35539.09","936.99","272.81"
"2022/10/24","33778.61","35697.62","934.90","271.59"
"2022/10/25","34154.48","36492.07","924.50","265.55"
"2022/10/26","34380.00","36973.98","918.40","262.04"
"2022/10/27","34204.59","36596.69","923.09","264.71"
"2022/10/28","33841.24","35819.17","932.90","270.33"
"2022/10/31","34517.81","37251.40","914.25","259.52"
"2022/11/01","34693.22","37630.00","909.60","256.88"
"2022/11/02","34630.57","37494.09","911.24","257.81"
"2022/11/04","34066.76","36273.23","926.08","266.20"
"2022/11/07","34517.81","37233.76","913.82","259.15"
"2022/11/08","34943.80","38152.78","902.54","252.75"
"2022/11/09","34643.10","37496.15","910.31","257.10"
"2022/11/10","34367.46","36899.47","917.55","261.19"
"2022/11/11","35419.91","39159.45","889.45","245.19"
"2022/11/14","35031.51","38300.64","899.20","250.57"
"2022/11/15","35119.21","38492.41","896.95","249.32"
"2022/11/16","35131.74","38519.88","896.63","249.14"
"2022/11/17","35056.57","38355.04","898.55","250.21"
"2022/11/18","34931.28","38080.88","901.76","252.00"
"2022/11/21","35044.04","38326.73","898.85","250.37"
"2022/11/22","35231.98","38737.82","894.03","247.68"
"2022/11/24","35545.21","39426.62","886.08","243.28"
"2022/11/25","35495.09","39315.43","887.33","243.97"
"2022/11/28","35282.09","38843.58","892.65","246.90"
"2022/11/29","35156.80","38567.71","895.82","248.65"
"2022/11/30","35131.74","38512.73","896.46","249.00"
"2022/12/01","35394.85","39089.59","889.75","245.27"
"2022/12/02","34780.92","37733.56","905.18","253.78"
"2022/12/05","34881.41","37951.60","902.56","252.31"
"2022/12/06","34919.09","38033.59","901.59","251.76"
"2022/12/07","34642.75","37431.62","908.72","255.74"
"2022/12/08","34529.70","37187.32","911.69","257.41"
"2022/12/09","34981.89","38161.31","899.75","250.67"
"2022/12/12","34881.40","37942.06","902.33","252.11"
"2022/12/13","35032.13","38269.97","898.43","249.93"
"2022/12/14","35270.79","38791.41","892.31","246.52"
"2022/12/15","35120.06","38459.86","896.12","248.63"
"2022/12/16","34504.58","37111.84","911.82","257.34"
"2022/12/19","34190.56","36436.34","920.12","262.02"
"2022/12/20","33311.30","34562.31","943.78","275.50"
"2022/12/21","33060.08","34041.00","950.90","279.66"
"2022/12/22","33210.81","34351.40","946.56","277.11"
"2022/12/23","32846.55","33597.86","956.94","283.19"
"2022/12/26","33122.89","34163.18","948.89","278.43"
"2022/12/27","33110.33","34137.27","949.25","278.64"
"2022/12/28","32947.04","33800.56","953.93","281.39"
"2022/12/29","32633.02","33156.25","963.02","286.75"
"2022/12/30","32645.58","33181.77","962.65","286.53"
"2023/01/04","32168.27","32211.47","976.72","294.91"
"2023/01/05","32381.80","32639.10","970.24","290.99"
"2023/01/06","32570.21","33018.91","964.59","287.60"
"2023/01/10","32859.11","33604.67","956.03","282.50"
"2023/01/11","33173.13","34246.96","946.89","277.10"
"2023/01/12","33122.89","34143.23","948.32","277.94"
"2023/01/13","32758.63","33392.27","958.75","284.05"
"2023/01/16","32369.24","32598.43","970.15","290.80"
"2023/01/17","32833.99","33534.51","956.22","282.45"
"2023/01/18","33575.08","35048.31","934.64","269.70"
"2023/01/19","33085.21","34025.58","948.28","277.57"
"2023/01/20","33323.87","34516.47","941.44","273.57"
"2023/01/23","33763.50","35427.20","929.02","266.35"
"2023/01/24","34253.37","36455.22","915.54","258.62"
"2023/01/25","34316.17","36588.89","913.86","257.67"
"2023/01/26","34391.53","36749.59","911.85","256.54"
"2023/01/27","34366.41","36695.91","912.52","256.91"
"2023/01/30","34378.97","36722.73","912.19","256.72"
"2023/01/31","34291.04","36534.88","914.52","258.03"
"2023/02/01","34303.60","36561.64","914.19","257.84"
"2023/02/02","34404.09","36775.85","911.51","256.33"
"2023/02/03","34529.70","37044.39","908.18","254.46"
"2023/02/06","34768.36","37556.47","901.90","250.94"
"2023/02/07","34667.87","37339.37","904.51","252.39"
"2023/02/08","34667.87","37339.37","904.51","252.39"
"2023/02/09","34579.94","37149.96","906.80","253.67"
"2023/02/10","34730.67","37473.82","902.85","251.46"
"2023/02/13","34466.89","36904.59","909.71","255.28"
"2023/02/14","34692.98","37388.75","903.74","251.93"
"2023/02/15","34466.89","36901.43","909.63","255.21"
"2023/02/16","34755.79","37520.04","902.01","250.93"
"2023/02/17","34492.01","36950.52","908.86","254.74"
"2023/02/20","34567.37","37111.98","906.87","253.63"
"2023/02/21","34479.44","36923.17","909.18","254.92"
"2023/02/22","34077.49","36062.29","919.78","260.86"
"2023/02/24","34391.51","36726.91","911.30","256.05"
"2023/02/27","34429.19","36807.39","910.30","255.49"
"2023/02/28","34504.55","36968.52","908.31","254.37"
"2023/03/01","34579.91","37130.00","906.33","253.26"
"2023/03/02","34567.35","37103.03","906.66","253.44"
